Transaction ID,Terminal ID,Merchant ID,Store Name,Location,Timestamp,Card Type,Masked Card No,Auth Code,Txn Amount (₹),Txn Type,Product Category,Product SKU,Product Name,Inventory ID,Response Code,Settlement Date,Status,Payment Mode,EMI Plan (months),Cashback (₹),Scheme Code,Remaining Stock
CHETXN1000,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-30 02:00:38,RuPay,**** **** 1328,757651,106,Purchase,Pharma,PARACETAMO,Paracetamol,INV19739,0,2025-05-01,Success,Credit Card,0,0,-,8
CHETXN1001,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-23 14:25:38,Mastercard,**** **** 9551,412794,451,Purchase,Pharma,VITAMIN_C,Vitamin C,INV43509,0,2025-04-24,Success,Credit Card,0,0,-,43
CHETXN1002,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-04 09:47:38,RuPay,**** **** 6226,319571,435,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV48483,0,2025-05-05,Success,UPI,0,0,-,13
CHETXN1003,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-18 05:07:38,RuPay,**** **** 7376,455416,224,Purchase,Pharma,VITAMIN_C,Vitamin C,INV92756,0,2025-05-19,Success,Debit Card,0,0,-,24
CHETXN1004,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-12 15:20:38,Visa,**** **** 7066,789011,208,Purchase,Pharma,ANTACID,Antacid,INV29597,0,2025-05-13,Success,Debit Card,0,0,-,36
CHETXN1005,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-28 19:44:38,Mastercard,**** **** 9495,496223,237,Purchase,Pharma,COUGH_SYRU,Cough Syrup,INV17743,0,2025-04-29,Success,UPI,0,0,-,45
CHETXN1006,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-21 12:42:38,Mastercard,**** **** 9830,637563,324,Purchase,Pharma,ANTACID,Antacid,INV49658,0,2025-04-22,Success,UPI,0,0,-,18
CHETXN1007,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-29 12:44:38,RuPay,**** **** 6213,976172,455,Purchase,Pharma,PARACETAMO,Paracetamol,INV49091,0,2025-04-30,Success,Credit Card,0,0,-,26
CHETXN1008,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-04-29 21:26:38,Visa,**** **** 2409,616963,263,Purchase,Pharma,VITAMIN_C,Vitamin C,INV30197,0,2025-04-30,Success,Debit Card,0,0,-,42
CHETXN1009,CHETERM001,CHEMERCH001,HealthPlus Chemist,Pune,2025-05-02 09:36:38,RuPay,**** **** 9800,372953,361,Purchase,Pharma,VITAMIN_C,Vitamin C,INV46075,0,2025-05-03,Success,UPI,0,0,-,7
