Transaction ID,Terminal ID,Merchant ID,Store Name,Location,Timestamp,Card Type,Masked Card No,Auth Code,Txn Amount (₹),Txn Type,Product Category,Product SKU,Product Name,Inventory ID,Response Code,Settlement Date,Status,Payment Mode,EMI Plan (months),Cashback (₹),Scheme Code,Remaining Stock
PATTXN1001,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 10:49:00,Mastercard,**** **** 1715,360037,95,Sale,Cleaning,KIR005,Surf Excel 500g,INV37467,00,2025-05-18,Success,Credit Card,0,0,-,25
PATTXN1002,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 15:29:00,Mastercard,**** **** 8995,351016,145,Sale,Groceries,KIR002,Fortune Oil 1L,INV98898,00,2025-05-18,Success,Debit Card,0,0,-,18
PATTXN1003,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 14:47:00,Mastercard,**** **** 6662,256797,10,Sale,Snacks,KIR003,Parle-G Biscuit,INV32454,00,2025-05-18,Success,Debit Card,0,0,-,19
PATTXN1004,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 10:25:00,Amex,**** **** 1714,299456,0,Reversal,Groceries,KIR001,Aashirvaad Atta 5kg,INV68309,00,,Reversed,Credit Card,0,0,-,9
PATTXN1005,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 12:27:00,Mastercard,**** **** 5640,186173,55,Sale,Dairy,KIR004,Amul Butter 100g,INV85458,00,2025-05-18,Success,Debit Card,0,0,-,20
PATTXN1006,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 10:11:00,RuPay,**** **** 8662,871616,0,Reversal,Dairy,KIR004,Amul Butter 100g,INV48760,00,,Reversed,Credit Card,0,0,-,21
PATTXN1007,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 18:21:00,RuPay,**** **** 4818,438714,145,Sale,Groceries,KIR002,Fortune Oil 1L,INV52784,00,2025-05-18,Success,Credit Card,0,0,-,17
PATTXN1008,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 12:53:00,Mastercard,**** **** 8480,786891,55,Sale,Dairy,KIR004,Amul Butter 100g,INV11633,00,2025-05-18,Success,Debit Card,0,0,-,20
PATTXN1009,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 12:20:00,Mastercard,**** **** 1581,350492,10,Sale,Snacks,KIR003,Parle-G Biscuit,INV57280,00,2025-05-18,Success,Debit Card,0,0,-,18
PATTXN1010,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 13:05:00,Amex,**** **** 5203,534607,0,Reversal,Dairy,KIR004,Amul Butter 100g,INV50707,00,,Reversed,Debit Card,0,0,-,21
PATTXN1011,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 17:19:00,Mastercard,**** **** 5175,561065,225,Sale,Groceries,KIR001,Aashirvaad Atta 5kg,INV44244,00,2025-05-18,Success,Debit Card,0,0,-,8
PATTXN1012,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 13:34:00,Amex,**** **** 2290,646423,95,Sale,Cleaning,KIR005,Surf Excel 500g,INV40706,00,2025-05-18,Success,Credit Card,0,0,-,24
PATTXN1013,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 13:50:00,Visa,**** **** 5568,651647,225,Sale,Groceries,KIR001,Aashirvaad Atta 5kg,INV64395,00,2025-05-18,Success,Credit Card,0,0,-,7
PATTXN1014,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 16:29:00,Mastercard,**** **** 6536,921919,145,Sale,Groceries,KIR002,Fortune Oil 1L,INV78191,00,2025-05-18,Success,Credit Card,0,0,-,16
PATTXN1015,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 16:53:00,Visa,**** **** 1516,234515,145,Sale,Groceries,KIR002,Fortune Oil 1L,INV49328,00,2025-05-18,Success,Debit Card,0,0,-,15
PATTXN1016,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 14:17:00,Mastercard,**** **** 4042,113533,0,Void,Groceries,KIR001,Aashirvaad Atta 5kg,INV73178,00,,Voided,Debit Card,0,0,-,8
PATTXN1017,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 13:03:00,Visa,**** **** 8339,692340,55,Sale,Dairy,KIR004,Amul Butter 100g,INV72726,00,2025-05-18,Success,Debit Card,0,0,-,20
PATTXN1018,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 15:27:00,RuPay,**** **** 9807,415765,145,Sale,Groceries,KIR002,Fortune Oil 1L,INV31588,00,2025-05-18,Success,Credit Card,0,0,-,14
PATTXN1019,TERM001,MERCH201,Patel Kirana Store,Ahmedabad,2025-05-17 15:50:00,RuPay,**** **** 8285,612714,225,Sale,Groceries,KIR001,Aashirvaad Atta 5kg,INV89553,00,2025-05-18,Success,Debit Card,0,0,-,7
